ID товара,Название препарата,Рецептурность препарата,Производитель,Активное вещество,Текущая цена,Старая цена,Ссылка на картинку,Ссылка на товар,Название региона
36686,Глюкофаж Лонг 500 мг Таблетки пролонгированного действия 30 шт,По рецепту,Нанолек,Метформин,208,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/tgyxtZUBrbRC1cy5ZKT3-300x300,https://gorzdrav.org/p/gljukofazh-long-tabl-p-o-500mg-n30-36686/,Москва
643205,Агарта Мет Таблетки 50 мг + 1000 мг 60 шт,По рецепту,Гедеон Рихтер,Вилдаглиптин+Метформин,2122,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/g4mMupUBRjkwyzW3cRmd-300x213,https://gorzdrav.org/p/agarta-met-tabl-p-pl-ob-50mg-1000mg-n60-643205/,Москва
32802,Галвус Мет Таблетки покрытые пленочной оболочкой 50 мг + 500 мг 30 шт,По рецепту,Новартис Фарма,Вилдаглиптин+Метформин,1996,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/4daNtZUB4hniyrJC_JUd-300x266,https://gorzdrav.org/p/galvus-met-tabl-p-o-50mg-500mg-n30-32802/,Москва
651454,Вилдаглиптин-СЗ Таблетки 50 мг 30 шт,По рецепту,Северная Звезда,Вилдаглиптин,469,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/QhgUu5UB5yfJBvc3kjMi-300x300,https://gorzdrav.org/p/vildagliptin-tabl-50mg-n30-651454/,Москва
639333,Форсиглекс Таблетки 850 мг + 50 мг 56 шт,По рецепту,Польфарма,Метформин+Ситаглиптин,1303,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/yZJsupUBu1bHOSl1BvDX-300x169,https://gorzdrav.org/p/forsigleks-tabl-p-o-850mg-50mg-n56-639333/,Москва
643074,Агарта Таблетки 50 мг 30 шт,По рецепту,Гедеон Рихтер,Вилдаглиптин,589,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/7BOMupUBRjkwyzW3csSb-300x237,https://gorzdrav.org/p/agarta-tabl-50mg-n30-643074/,Москва
667678-3,Набор из трех упаковок Седжаро Раствор для подкожного введения 15 мг/доза шприц-ручка + игла 4 шт,По рецепту,,,47689,52689,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/aiYQLpwB-jufNU_rhoNs-300x300,https://gorzdrav.org/p/bundle_sedzharo-0-015-doza-shpricruchka-rr-p-k-igla-n4-667678-3/,Москва
191065,Инвокана 300 мг Таблетки покрытые пленочной оболочкой 30 шт,По рецепту,Янссен,Канаглифлозин,5363,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/ltTJt5UB_o6zmeq9_Gsb-300x300,https://gorzdrav.org/p/invokana-tabl-p-p-o-300mg-30-191065/,Москва
44195,Глимекомб таблетки 40 мг + 500 мг 60 шт,По рецепту,Акрихин,Гликлазид+Метформин,749,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/GEiruZUBVT-7ZLtgyJ57-300x300,https://gorzdrav.org/p/glimekomb-tab-40-mg-500-mg-60-44195/,Москва
548107,Метформин-Озон таблетки 500 мг 60 шт,По рецепту,Озон,Метформин,101,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/fFkrupUBsYtKaeUWEwSu-300x201,https://gorzdrav.org/p/novyj-tovar-548107/,Москва
669612,Вилдаглиптин Таблетки 50 мг 56 шт,По рецепту,Hemofarm,Вилдаглиптин,1364,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/Af0vTZwBO1hvZDjOMO_x-300x300,https://gorzdrav.org/p/vildagliptin-0-05-n56-tabl-669612/,Москва
36292,"Эвалар Олиджим Таблетки массой 0,52 г 100 шт",,Эвалар,,1114,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/u0obdpgBEl21vw0WEr3w-300x240,https://gorzdrav.org/p/olidzhim-tabl-0-52g-n100-36292/,Москва
41006,Форметин Таблетки 850 мг 60 шт,По рецепту,Фармстандарт,Метформин,171,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/DgAgJZoBmzc5Xblz6vIx-300x300,https://gorzdrav.org/p/formetin-tb-850mg-n60-41006/,Москва
40806,Глимепирид-Вертекс Таблетки 2 мг 30 шт,По рецепту,Вертекс,Глимепирид,313,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/PVbdtZUBrbRC1cy5RxYu-300x300,https://gorzdrav.org/p/glimepirid-verte-tabl-2mg-n30-40806/,Москва
667678,Седжаро Раствор для подкожного введения 15 мг/доза шприц-ручка + игла 4 шт,По рецепту,Герофарм,Тирзепатид,15806,17563,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/VVeECZkBAVH4f51Sd8ZP-300x210,https://gorzdrav.org/p/sedzharo-0-015-doza-shpricruchka-rr-p-k-igla-n4-667678/,Москва
655196,Вилдаглиптин-Вертекс Таблетки 50 мг 56 шт,По рецепту,Вертекс,Вилдаглиптин,1064,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/6jwtu5UB5yfJBvc3ZeT3-300x155,https://gorzdrav.org/p/vildagliptinverteks-0-05-n56-tabl-655196/,Москва
194235,Ринсулин НПХ Суспензия для подкожного введения картридж 100 ме/мл 3 мл 5 шт,По рецепту,Герофарм,Инсулин-изофан [человеческий генно-инженерный],1147,,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/TUDgt5UBybk0vr4zolh6-300x300,https://gorzdrav.org/p/rinsulin-npkh-susp-d-p-k-vv-100-me-ml-kartridzh-3ml-n5-194235/,Москва
666776-2,"Набор из двух упаковок Седжаро Раствор 7,5 мг шприц-ручка 2,4 мл 1 шт + игла 4 шт",По рецепту,,,20294,22294,https://gorzdrav.org/api/v1/multimedia/media/downloadFile/GWDB4pkBBFTqaCxS8DM--300x300,https://gorzdrav.org/p/bundle_sedzharo-rr-dlja-p-k-vved-7-5-mg-doza-shpricruchka-2-4-ml-1-igla-4-666776-2/,Москва
